 ===================== NEURON LEVEL 0 ===================== 
 ----------------------- layer0_n0 ----------------------- 
75                        -> 75                       :     01001011 = 75    
-6                        -> -6                       :     11111010 = -6    
-1                        -> -1                       :     11111111 = -1    
-3                        -> -3                       :     11111101 = -3    
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
-5                        -> -5                       :     11111011 = -5    
-2                        -> -2                       :     11111110 = -2    
-3                        -> -3                       :     11111101 = -3    
-3                        -> -3                       :     11111101 = -3    
-2                        -> -2                       :     11111110 = -2    
-2                        -> -2                       :     11111110 = -2    
-2                        -> -2                       :     11111110 = -2    
-2                        -> -2                       :     11111110 = -2    
-3                        -> -3                       :     11111101 = -3    
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
-3                        -> -3                       :     11111101 = -3    
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
4                         -> 4                        :     00000100 = 4     
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
5                         -> 5                        :     00000101 = 5     
5                         -> 5                        :     00000101 = 5     
8                         -> 8                        :     00001000 = 8     
5                         -> 5                        :     00000101 = 5     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
2                         -> 2                        :     00000010 = 2     
2                         -> 2                        :     00000010 = 2     
0.020466128               -> 0.020466128              :     00000000 = 0     

 ===================== NEURON LEVEL 4 ===================== 
 ----------------------- layer0_n4 ----------------------- 
-28                       -> -28                      :     11100100 = -28   
-11                       -> -11                      :     11110101 = -11   
-14                       -> -14                      :     11110010 = -14   
13                        -> 13                       :     00001101 = 13    
208                       -> 208                      :     01111111 = 127   
8                         -> 8                        :     00001000 = 8     
-14                       -> -14                      :     11110010 = -14   
-7                        -> -7                       :     11111001 = -7    
-6                        -> -6                       :     11111010 = -6    
-6                        -> -6                       :     11111010 = -6    
-8                        -> -8                       :     11111000 = -8    
0                         -> 0                        :     00000000 = 0     
-7                        -> -7                       :     11111001 = -7    
-6                        -> -6                       :     11111010 = -6    
-5                        -> -5                       :     11111011 = -5    
-8                        -> -8                       :     11111000 = -8    
-3                        -> -3                       :     11111101 = -3    
-3                        -> -3                       :     11111101 = -3    
-4                        -> -4                       :     11111100 = -4    
-3                        -> -3                       :     11111101 = -3    
-4                        -> -4                       :     11111100 = -4    
-4                        -> -4                       :     11111100 = -4    
-4                        -> -4                       :     11111100 = -4    
-3                        -> -3                       :     11111101 = -3    
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
-2                        -> -2                       :     11111110 = -2    
-3                        -> -3                       :     11111101 = -3    
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-5                        -> -5                       :     11111011 = -5    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-2                        -> -2                       :     11111110 = -2    
-2                        -> -2                       :     11111110 = -2    
2                         -> 2                        :     00000010 = 2     
2                         -> 2                        :     00000010 = 2     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
3                         -> 3                        :     00000011 = 3     
4                         -> 4                        :     00000100 = 4     
-1                        -> -1                       :     11111111 = -1    
6                         -> 6                        :     00000110 = 6     
8                         -> 8                        :     00001000 = 8     
5                         -> 5                        :     00000101 = 5     
7                         -> 7                        :     00000111 = 7     
6                         -> 6                        :     00000110 = 6     
7                         -> 7                        :     00000111 = 7     
10                        -> 10                       :     00001010 = 10    
5                         -> 5                        :     00000101 = 5     
0                         -> 0                        :     00000000 = 0     
3                         -> 3                        :     00000011 = 3     
1                         -> 1                        :     00000001 = 1     
5                         -> 5                        :     00000101 = 5     
3                         -> 3                        :     00000011 = 3     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
3                         -> 3                        :     00000011 = 3     
0.028085764               -> 0.028085764              :     00000000 = 0     

 ===================== NEURON LEVEL 5 ===================== 
 ----------------------- layer0_n5 ----------------------- 
26                        -> 26                       :     00011010 = 26    
-4                        -> -4                       :     11111100 = -4    
-11                       -> -11                      :     11110101 = -11   
-16                       -> -16                      :     11110000 = -16   
10                        -> 10                       :     00001010 = 10    
187                       -> 187                      :     01111111 = 127   
17                        -> 17                       :     00010001 = 17    
-27                       -> -27                      :     11100101 = -27   
-1                        -> -1                       :     11111111 = -1    
-3                        -> -3                       :     11111101 = -3    
-5                        -> -5                       :     11111011 = -5    
-8                        -> -8                       :     11111000 = -8    
-3                        -> -3                       :     11111101 = -3    
-6                        -> -6                       :     11111010 = -6    
-5                        -> -5                       :     11111011 = -5    
-16                       -> -16                      :     11110000 = -16   
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-3                        -> -3                       :     11111101 = -3    
-5                        -> -5                       :     11111011 = -5    
-7                        -> -7                       :     11111001 = -7    
-4                        -> -4                       :     11111100 = -4    
-8                        -> -8                       :     11111000 = -8    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
-2                        -> -2                       :     11111110 = -2    
-3                        -> -3                       :     11111101 = -3    
-3                        -> -3                       :     11111101 = -3    
-7                        -> -7                       :     11111001 = -7    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
3                         -> 3                        :     00000011 = 3     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-6                        -> -6                       :     11111010 = -6    
3                         -> 3                        :     00000011 = 3     
7                         -> 7                        :     00000111 = 7     
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
0                         -> 0                        :     00000000 = 0     
3                         -> 3                        :     00000011 = 3     
-2                        -> -2                       :     11111110 = -2    
-5                        -> -5                       :     11111011 = -5    
12                        -> 12                       :     00001100 = 12    
12                        -> 12                       :     00001100 = 12    
10                        -> 10                       :     00001010 = 10    
8                         -> 8                        :     00001000 = 8     
6                         -> 6                        :     00000110 = 6     
5                         -> 5                        :     00000101 = 5     
5                         -> 5                        :     00000101 = 5     
-2                        -> -2                       :     11111110 = -2    
9                         -> 9                        :     00001001 = 9     
1                         -> 1                        :     00000001 = 1     
7                         -> 7                        :     00000111 = 7     
3                         -> 3                        :     00000011 = 3     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
0.031422365               -> 0.031422365              :     00000000 = 0     

 ===================== NEURON LEVEL 6 ===================== 
 ----------------------- layer0_n6 ----------------------- 
15                        -> 15                       :     00001111 = 15    
-3                        -> -3                       :     11111101 = -3    
-5                        -> -5                       :     11111011 = -5    
-4                        -> -4                       :     11111100 = -4    
-9                        -> -9                       :     11110111 = -9    
8                         -> 8                        :     00001000 = 8     
179                       -> 179                      :     01111111 = 127   
30                        -> 30                       :     00011110 = 30    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
-3                        -> -3                       :     11111101 = -3    
-3                        -> -3                       :     11111101 = -3    
-3                        -> -3                       :     11111101 = -3    
-3                        -> -3                       :     11111101 = -3    
3                         -> 3                        :     00000011 = 3     
-10                       -> -10                      :     11110110 = -10   
2                         -> 2                        :     00000010 = 2     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
-3                        -> -3                       :     11111101 = -3    
-6                        -> -6                       :     11111010 = -6    
-4                        -> -4                       :     11111100 = -4    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
-2                        -> -2                       :     11111110 = -2    
-2                        -> -2                       :     11111110 = -2    
-5                        -> -5                       :     11111011 = -5    
2                         -> 2                        :     00000010 = 2     
2                         -> 2                        :     00000010 = 2     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-2                        -> -2                       :     11111110 = -2    
-4                        -> -4                       :     11111100 = -4    
4                         -> 4                        :     00000100 = 4     
5                         -> 5                        :     00000101 = 5     
3                         -> 3                        :     00000011 = 3     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-2                        -> -2                       :     11111110 = -2    
-3                        -> -3                       :     11111101 = -3    
12                        -> 12                       :     00001100 = 12    
6                         -> 6                        :     00000110 = 6     
6                         -> 6                        :     00000110 = 6     
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
5                         -> 5                        :     00000101 = 5     
2                         -> 2                        :     00000010 = 2     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
-2                        -> -2                       :     11111110 = -2    
-2                        -> -2                       :     11111110 = -2    
0.017665595               -> 0.017665595              :     00000000 = 0     

 ===================== NEURON LEVEL 7 ===================== 
 ----------------------- layer0_n7 ----------------------- 
2                         -> 2                        :     00000010 = 2     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-2                        -> -2                       :     11111110 = -2    
4                         -> 4                        :     00000100 = 4     
200                       -> 200                      :     01111111 = 127   
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
3                         -> 3                        :     00000011 = 3     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
0.006070171               -> 0.006070171              :     00000000 = 0     

 ===================== NEURON LEVEL 8 ===================== 
 ----------------------- layer0_n8 ----------------------- 
-28                       -> -28                      :     11100100 = -28   
1                         -> 1                        :     00000001 = 1     
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
164                       -> 164                      :     01111111 = 127   
8                         -> 8                        :     00001000 = 8     
-2                        -> -2                       :     11111110 = -2    
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
12                        -> 12                       :     00001100 = 12    
-5                        -> -5                       :     11111011 = -5    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
